ID,Herbario,Duplicatas,Type.statu,No..Herbar,Coletor,Coletores.,No.Voucher,Dia.de.col,Mes.de.col,Ano.de.col,Familia,Genero,especie,species,Autor,infra,nome.infra,Autor.infr,Determinad,Mes.da.det,Ano.da.det,Pa�.s,Estado,Estado.Sig,Cidade,Localidade,Lat,Lon,,,,,,,,,
5655,MBM,,,139440,A. M. Giulietti,,1507,,0,0,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,"Giulietti, AM",,,Brazil,Bahia,BA,Mucugê,"Alto da Serra da Pina, estrada Mucugê - Guiné, a 25km NO",-13.02265,-41.35404901,,,,,,,,,
4081,HUEFS,,,32830,A. M. Giulietti,,CFCR1507,20,7,1981,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,,,,Brazil,Bahia,BA,Mucugê,"Alto do Morro do Pina. Estrada de Mucugê a Guiné, a 25 Km NO de Mucugê",-13,-41.366667,,,,,,,,,
3863,NY,,,571744,B. L. Stannard,,H52019,,0,1992,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,A. M. Giulietti,,,Brazil,Bahia,BA,Abaíra,Campo de Ouro Fino,-13.25,-41.9,,,,,,,,,
14252,SPF,,,SPF00089237,B. Stannard,,52784,22,3,1992,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,"Sano, P.T.; Giulietti, A.M.",0,1998,Brasil,Bahia,BA,Abaíra,Guarda Mor,-13.32947,-41.8436186,,,,,,,,,
14256,SPF,RB,,SPF00194428,C. N. Fraga,,2680,11,7,2009,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,"Trovó, M.L.O.",1,2015,Brasil,Bahia,BA,Mucugê,,-13.0704,-41.2223,,,,,,,,,
3950,RB,,,488600,C. N. Fraga,M.M. Saavedra; J.E. Meirelles & J. Neri,2680,11,7,2009,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,N. Hensold,,2010,Brazil,Bahia,BA,Mucugê,"Capão do Correia, trilha para o Largo da Baixa. Estrada vicinal saindo Caraiba a 17,5Km da BA 142",-13.04262,-41.36389021,,,,,,,,,
3363,HUEFS,,,36472,F. H. F. Nascimento,,141,23,3,1999,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,A.M.Giulietti,9,1999,Brazil,Bahia,BA,Rio de Contas,"Trilha Catolés-Caiambola, próximo ao cruzamento para o Bicho.",-13.5789,-41.81140137,,,,,,,,,
7272,M,Staatsherbarium Munchen,Syntype,,F. Landstein,,212,,8,1914,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,Herzog,10,1914,Brazil,Bahia,BA,Itubira,Carrasco-Gebiet,-13.50113,-41.92749446,,,,,,,,,
4033,NY,,,501294,G. Hatschbach,,47956,,0,1984,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,,,,Brazil,Bahia,BA,Mucugê,Rio Mucugê,-13.0056,-41.3706,,,,,,,,,
14253,SPF,G,,SPF00092000,J. R. Pirani,,51305,26,1,1992,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,"Giulietti, A.M.",0,1998,Brasil,Bahia,BA,Abaíra,,-13.31947,-41.8636186,,,,,,,,,
7278,RB,,,573183,L. P. Félix,G. Trajano,8733,21,7,1998,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,M.I.O. Trovó,6,2013,Brazil,Bahia,BA,Ibicoara,,-13.3379,-41.25898056,,,,,,,,,
14262,SPF,,,SPF00095706,P. T. Sano,,14745,1,3,1994,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,"Giulietti, A.M.",0,2004,Brasil,Bahia,BA,Rio de Contas,,-13.40247,-41.8449186,,,,,,,,,
14251,SPF,"K,BR,NY,M,UEFS,W",,SPF00091693,P. T. Sano,,52167,24,2,1992,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,"Giulietti, A.M.",0,1998,Brasil,Bahia,BA,Abaíra,,-13.30947,-41.8836186,,,,,,,,,
3843,HUEFS,,,64097,P. T. Sano,,H52167,24,2,1992,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,,,,Brazil,Bahia,BA,Abaíra,Campo do Cigano.,-13.25,-41.916667,,,,,,,,,
7471,NYBG,,,,P. von Luetzelburg,,212,,0,1914,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,H.N.Moldenke,8,1974,Brazil,Bahia,BA,,Serra da almas,-13.53944,-41.907222,,,,,,,,,
14257,SPF,"K, NY",,SPF00030584,R. M. Harley,,19906,24,3,1977,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,"Moldenke, H.N.",0,0,Brasil,Bahia,BA,,Serra do Rio de Contas,-13.44947,-41.8236186,,,,,,,,,
14261,SPF,"B,BHCB",,SPF00090729,R. M. Harley,,50741,10,1,1992,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,"Giulietti, A.M.",0,1998,Brasil,Bahia,BA,Abaíra,Campo de Ouro Fino,-13.30947,-41.8736186,,,,,,,,,
3690,HUEFS,,,74262,R. M. Harley,,54534,2,1,2003,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,,,,Brazil,Bahia,BA,Rio de Contas,"Kaiambola, na trilha para o Pico de Itobira. Em solo escuro, úmido, com pedras quartziticas.",-13.38194,-41.888889,,,,,,,,,
